"","Unique_ID","Gender","Age Group","Marital_Status","State","Product_Category","Total_Orders","Total_Spends","Count"
"125","1000076_42_1_Eastern_Food Processing_Electronics & Gadgets","F","36-45",1,"Jharkhand","Electronics & Gadgets",1,6102,1
"126","1000077_21_0_Northern_Agriculture_Clothing & Apparel","F","18-25",0,"Himachal Pradesh","Clothing & Apparel",2,5269,1
"127","1000078_46_0_Central_Automobile_Sports Products","M","46-50",0,"Uttar Pradesh","Sports Products",3,10639,1
"128","1000078_46_0_Central_Govt_Food","M","46-50",0,"Delhi","Food",2,8162,1
"129","1000078_49_0_Central_Lawyer_Clothing & Apparel","M","46-50",0,"Delhi","Clothing & Apparel",1,8794,1
"130","1000080_56_0_Central_Govt_Food","F","55+",0,"Uttar Pradesh","Food",2,11459,1
"131","1000080_90_0_Eastern_Hospitality_Clothing & Apparel","F","55+",0,"Bihar","Clothing & Apparel",4,7043,1
"132","1000081_26_0_Southern_Food Processing_Food","M","26-35",0,"Karnataka","Food",2,19547,1
"133","1000083_33_0_Central_IT Sector_Food","M","26-35",0,"Uttar Pradesh","Food",4,15443,1
"134","1000083_35_0_Central_Hospitality_Clothing & Apparel","M","26-35",0,"Uttar Pradesh","Clothing & Apparel",3,5345,1
"135","1000086_13_1_Central_Healthcare_Beauty","M","0-17",1,"Uttar Pradesh","Beauty",1,1501,1
"136","1000086_14_0_Central_Govt_Clothing & Apparel","F","0-17",0,"Uttar Pradesh","Clothing & Apparel",4,6973,1
"137","1000086_15_0_Central_IT Sector_Clothing & Apparel","M","0-17",0,"Uttar Pradesh","Clothing & Apparel",3,7037,1
"138","1000088_49_0_Southern_Automobile_Clothing & Apparel","M","46-50",0,"Andhra Pradesh","Clothing & Apparel",4,5332,1
"139","1000088_49_0_Western_Automobile_Clothing & Apparel","M","46-50",0,"Gujarat","Clothing & Apparel",1,5332,1
"140","1000089_71_1_Central_Aviation_Electronics & Gadgets","M","55+",1,"Delhi","Electronics & Gadgets",1,8037,1
"141","1000090_56_0_Northern_Healthcare_Electronics & Gadgets","F","55+",0,"Himachal Pradesh","Electronics & Gadgets",4,9779,1
"142","1000090_65_0_Central_Automobile_Footwear & Shoes","M","55+",0,"Uttarakhand","Footwear & Shoes",4,12119,1
"143","1000090_68_0_Southern_Banking_Electronics & Gadgets","F","55+",0,"Kerala","Electronics & Gadgets",1,5878,1
"144","1000091_42_0_Southern_IT Sector_Footwear & Shoes","F","36-45",0,"Karnataka","Footwear & Shoes",3,16517,1
"145","1000092_18_1_Southern_Banking_Food","M","18-25",1,"Karnataka","Food",2,11400,1
"146","1000092_21_0_Central_Govt_Food","M","18-25",0,"Madhya Pradesh","Food",1,15173,1
"147","1000092_21_1_Central_Lawyer_Furniture","M","18-25",1,"Uttar Pradesh","Furniture",4,19909,1
"148","1000092_22_1_Central_Banking_Clothing & Apparel","M","18-25",1,"Delhi","Clothing & Apparel",3,8785,1
"149","1000093_29_0_Central_IT Sector_Clothing & Apparel","F","26-35",0,"Madhya Pradesh","Clothing & Apparel",1,1993,1
"150","1000093_29_0_Southern_Media_Food","F","26-35",0,"Karnataka","Food",4,15545,1
"151","1000094_31_0_Northern_Agriculture_Electronics & Gadgets","F","26-35",0,"Haryana","Electronics & Gadgets",4,8026,1
"152","1000094_31_0_Northern_Agriculture_Electronics & Gadgets","F","26-35",0,"Himachal Pradesh","Electronics & Gadgets",2,8026,1
"153","1000095_47_1_Southern_Automobile_Food","F","46-50",1,"Karnataka","Food",1,11608,1
"154","1000096_31_0_Eastern_IT Sector_Electronics & Gadgets","M","26-35",0,"Jharkhand","Electronics & Gadgets",2,8025,1
"155","1000097_42_0_Southern_Hospitality_Food","M","36-45",0,"Karnataka","Food",1,11859,1
"156","1000097_43_1_Southern_Govt_Food","M","36-45",1,"Andhra Pradesh","Food",3,19193,1
"157","1000097_44_0_Central_Hospitality_Furniture","M","36-45",0,"Uttar Pradesh","Furniture",2,12163,1
"158","1000098_42_0_Southern_Aviation_Sports Products","M","36-45",0,"Karnataka","Sports Products",4,10692,1
"159","1000100_39_0_Northern_Construction_Sports Products","F","36-45",0,"Himachal Pradesh","Sports Products",4,13338,1
"160","1000101_21_1_Southern_Media_Electronics & Gadgets","M","18-25",1,"Andhra Pradesh","Electronics & Gadgets",1,8133,1
"161","1000102_36_1_Central_Lawyer_Footwear & Shoes","F","36-45",1,"Uttar Pradesh","Footwear & Shoes",3,16460,1
"162","1000102_37_1_Central_Food Processing_Sports Products","F","36-45",1,"Uttar Pradesh","Sports Products",3,3013,1
"163","1000102_38_0_Western_Media_Electronics & Gadgets","F","36-45",0,"Maharashtra","Electronics & Gadgets",4,8073,1
"164","1000102_39_0_Central_Hospitality_Footwear & Shoes","F","36-45",0,"Delhi","Footwear & Shoes",3,16204,1
"165","1000103_46_1_Northern_Govt_Clothing & Apparel","F","46-50",1,"Haryana","Clothing & Apparel",4,8588,1
"166","1000103_50_1_Western_Aviation_Clothing & Apparel","F","46-50",1,"Gujarat","Clothing & Apparel",1,5225,1
"167","1000106_40_1_Central_IT Sector_Clothing & Apparel","M","36-45",1,"Uttar Pradesh","Clothing & Apparel",4,5340,1
"168","1000107_49_1_Central_Automobile_Electronics & Gadgets","F","46-50",1,"Uttar Pradesh","Electronics & Gadgets",2,6023,1
"169","1000107_49_1_Western_Hospitality_Veterinary","F","46-50",1,"Maharashtra","Veterinary",1,1423,1
"170","1000111_42_1_Central_Lawyer_Electronics & Gadgets","M","36-45",1,"Delhi","Electronics & Gadgets",2,8080,1
"171","1000113_19_1_Southern_Govt_Auto","F","18-25",1,"Andhra Pradesh","Auto",4,23546,1
"172","1000116_29_0_Central_Agriculture_Electronics & Gadgets","F","26-35",0,"Uttar Pradesh","Electronics & Gadgets",1,9786,1
"173","1000117_27_0_Central_IT Sector_Clothing & Apparel","M","26-35",0,"Uttar Pradesh","Clothing & Apparel",1,5278,1
"174","1000117_29_0_Northern_IT Sector_Books","M","26-35",0,"Himachal Pradesh","Books",1,10392,1
"175","1000117_29_0_Western_Chemical_Food","F","26-35",0,"Maharashtra","Food",3,18952,1
"176","1000117_32_0_Central_Aviation_Decor","F","26-35",0,"Uttar Pradesh","Decor",2,9852,1
"177","1000117_34_0_Central_Healthcare_Furniture","M","26-35",0,"Madhya Pradesh","Furniture",1,12524,1
"178","1000118_36_0_Northern_IT Sector_Electronics & Gadgets","M","36-45",0,"Himachal Pradesh","Electronics & Gadgets",1,9908,1
"179","1000118_36_1_Southern_Agriculture_Household items","F","36-45",1,"Karnataka","Household items",2,3779,1
"180","1000118_45_1_Central_IT Sector_Clothing & Apparel","F","36-45",1,"Uttar Pradesh","Clothing & Apparel",4,7086,1
"181","1000119_12_0_Southern_Healthcare_Electronics & Gadgets","M","0-17",0,"Karnataka","Electronics & Gadgets",1,7972,1
"182","1000121_38_0_Southern_Govt_Auto","F","36-45",0,"Andhra Pradesh","Auto",3,18770,1
"183","1000123_37_0_Eastern_Retail_Sports Products","F","36-45",0,"Bihar","Sports Products",1,11056,1
"184","1000123_39_1_Central_Media_Clothing & Apparel","F","36-45",1,"Uttar Pradesh","Clothing & Apparel",2,5290,1
"185","1000123_40_1_Central_Chemical_Food","F","36-45",1,"Uttar Pradesh","Food",4,11970,1
"186","1000123_40_1_Central_Chemical_Footwear & Shoes","F","36-45",1,"Uttar Pradesh","Footwear & Shoes",1,12307,1
"187","1000123_43_0_Southern_Media_Food","F","36-45",0,"Telangana","Food",1,11405,1
"188","1000123_43_1_Central_Banking_Food","F","36-45",1,"Uttar Pradesh","Food",1,8059,1
"189","1000123_45_1_Central_Aviation_Clothing & Apparel","F","36-45",1,"Uttar Pradesh","Clothing & Apparel",4,6911,1
"190","1000123_45_1_Central_Media_Decor","F","36-45",1,"Uttar Pradesh","Decor",2,7781,1
"191","1000125_48_1_Central_Hospitality_Footwear & Shoes","F","46-50",1,"Madhya Pradesh","Footwear & Shoes",1,8102,1
"192","1000126_19_1_Eastern_Govt_Electronics & Gadgets","F","18-25",1,"Bihar","Electronics & Gadgets",2,2126,1
"193","1000127_47_1_Central_IT Sector_Clothing & Apparel","M","46-50",1,"Delhi","Clothing & Apparel",3,2041,1
"194","1000129_29_0_Southern_Govt_Pet Care","F","26-35",0,"Andhra Pradesh","Pet Care",2,2113,1
"195","1000129_32_1_Northern_Retail_Pet Care","F","26-35",1,"Himachal Pradesh","Pet Care",4,2781,1
"196","1000130_44_0_Western_Media_Sports Products","F","36-45",0,"Maharashtra","Sports Products",1,10593,1
"197","1000131_19_1_Central_Food Processing_Food","F","18-25",1,"Uttar Pradesh","Food",1,15739,1
"198","1000131_19_1_Southern_Media_Electronics & Gadgets","F","18-25",1,"Andhra Pradesh","Electronics & Gadgets",4,6029,1
"199","1000131_21_0_Northern_Healthcare_Electronics & Gadgets","F","18-25",0,"Punjab","Electronics & Gadgets",1,3967,1
"200","1000131_22_0_Western_Healthcare_Food","F","18-25",0,"Maharashtra","Food",2,19221,1
"201","1000131_23_0_Northern_Chemical_Sports Products","F","18-25",0,"Haryana","Sports Products",4,13345,1
"202","1000133_35_1_Western_Retail_Clothing & Apparel","M","26-35",1,"Maharashtra","Clothing & Apparel",1,8589,1
"203","1000134_26_0_Central_Aviation_Electronics & Gadgets","F","26-35",0,"Uttar Pradesh","Electronics & Gadgets",3,8117,1
"204","1000134_26_0_Eastern_IT Sector_Games & Toys","F","26-35",0,"Bihar","Games & Toys",3,9568,1
"205","1000134_29_0_Western_Aviation_Food","F","26-35",0,"Maharashtra","Food",1,4311,1
"206","1000134_30_0_Southern_Aviation_Electronics & Gadgets","F","26-35",0,"Andhra Pradesh","Electronics & Gadgets",3,7865,1
"207","1000134_30_0_Western_Retail_Games & Toys","F","26-35",0,"Maharashtra","Games & Toys",2,16116,1
"208","1000136_19_1_Western_Chemical_Food","F","18-25",1,"Maharashtra","Food",1,7638,1
"209","1000136_21_1_Central_Banking_Beauty","F","18-25",1,"Madhya Pradesh","Beauty",1,6086,1
"210","1000136_21_1_Northern_Retail_Sports Products","F","18-25",1,"Haryana","Sports Products",4,8206,1
"211","1000136_22_0_Northern_Retail_Electronics & Gadgets","F","18-25",0,"Punjab","Electronics & Gadgets",3,6178,1
"212","1000136_22_1_Central_IT Sector_Beauty","F","18-25",1,"Madhya Pradesh","Beauty",1,4669,1
"213","1000136_23_1_Central_Chemical_Food","F","18-25",1,"Uttar Pradesh","Food",3,11703,1
"214","1000136_25_1_Northern_Chemical_Clothing & Apparel","F","18-25",1,"Haryana","Clothing & Apparel",4,2005,1
"215","1000137_47_1_Southern_Banking_Games & Toys","M","46-50",1,"Andhra Pradesh","Games & Toys",4,16460,1
"216","1000137_50_0_Southern_Automobile_Footwear & Shoes","M","46-50",0,"Karnataka","Footwear & Shoes",2,16920,1
"217","1000138_23_0_Southern_IT Sector_Electronics & Gadgets","F","18-25",0,"Andhra Pradesh","Electronics & Gadgets",1,7815,1
"218","1000139_26_1_Southern_Food Processing_Household items","M","26-35",1,"Karnataka","Household items",4,2379,1
"219","1000141_37_0_Central_Food Processing_Games & Toys","F","36-45",0,"Uttar Pradesh","Games & Toys",3,12970,1
"220","1000141_43_0_Central_Automobile_Clothing & Apparel","F","36-45",0,"Uttar Pradesh","Clothing & Apparel",4,5378,1
"221","1000143_20_1_Central_Agriculture_Electronics & Gadgets","F","18-25",1,"Madhya Pradesh","Electronics & Gadgets",2,9969,1
"222","1000146_38_1_Western_Hospitality_Food","M","36-45",1,"Maharashtra","Food",2,15916,1
"223","1000146_44_1_Northern_IT Sector_Household items","M","36-45",1,"Rajasthan","Household items",2,3001,1
"224","1000146_45_1_Central_Hospitality_Clothing & Apparel","M","36-45",1,"Uttar Pradesh","Clothing & Apparel",3,5288,1
"225","1000147_20_0_Northern_Healthcare_Electronics & Gadgets","F","18-25",0,"Himachal Pradesh","Electronics & Gadgets",2,7954,1
"226","1000148_51_0_Central_Banking_Office","F","51-55",0,"Delhi","Office",3,745,1
"227","1000148_51_0_Southern_Construction_Food","F","51-55",0,"Telangana","Food",2,19643,1
"228","1000148_51_0_Western_Govt_Sports Products","F","51-55",0,"Gujarat","Sports Products",3,13675,1
"229","1000148_51_1_Northern_Banking_Furniture","F","51-55",1,"Himachal Pradesh","Furniture",4,19919,1
"230","1000148_52_1_Eastern_Healthcare_Pet Care","F","51-55",1,"Bihar","Pet Care",3,2790,1
"231","1000148_52_1_Northern_Media_Pet Care","F","51-55",1,"Haryana","Pet Care",1,2798,1
"232","1000148_54_0_Northern_Banking_Footwear & Shoes","M","51-55",0,"Himachal Pradesh","Footwear & Shoes",2,16266,1
"233","1000148_54_0_Southern_Agriculture_Clothing & Apparel","F","51-55",0,"Kerala","Clothing & Apparel",1,8633,1
"234","1000148_55_0_Eastern_Hospitality_Footwear & Shoes","M","51-55",0,"Bihar","Footwear & Shoes",3,16787,1
"235","1000148_55_1_Western_Healthcare_Clothing & Apparel","F","51-55",1,"Gujarat","Clothing & Apparel",3,5143,1
"236","1000149_26_1_Northern_Automobile_Clothing & Apparel","F","26-35",1,"Himachal Pradesh","Clothing & Apparel",1,5140,1
"237","1000149_29_1_Central_Media_Beauty","F","26-35",1,"Uttar Pradesh","Beauty",2,2979,1
"238","1000149_30_0_Southern_Healthcare_Household items","M","26-35",0,"Karnataka","Household items",2,3768,1
"239","1000149_33_1_Central_Banking_Food","F","26-35",1,"Uttar Pradesh","Food",3,11576,1
"240","1000149_34_1_Southern_Aviation_Pet Care","F","26-35",1,"Karnataka","Pet Care",4,2746,1
